Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,100n,
C4,0402,1,220n,
C5,0402,1,10u,
J1,PinSocket_1x03_P2.54mm_Vertical,1,Callistated 1,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Callistated 2,
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSO32,C1864162
U2,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,C94049
U3,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,C919695
